STT (cột 1)	STT của chương (cột 2)	Tên chương (cột 3)	Mã liên kết (cột 4)	Tên kỹ thuật (cột 5)	
1	1	1. Thần kinh 	10.7	Phẫu thuật lấy máu tụ ngoài màng cứng nhiều vị trí trên lều và hoặc dưới lều tiểu não	
2	2	1. Thần kinh 	10.15	Phẫu thuật mở nắp sọ giải ép trong tăng áp lực nội sọ	
3	3	1. Thần kinh 	10.16	Phẫu thuật dẫn lưu não thất ra ngoài	
4	4	1. Thần kinh 	10.21	Phẫu thuật vá đường rò dịch não tủy sau chấn thương sọ não (CTSN)	
5	5	1. Thần kinh 	10.23	Phẫu thuật lấy máu tụ quanh ổ mắt sau chấn thương sọ não	
6	6	1. Thần kinh 	10.24	Phẫu thuật giải chèn ép thần kinh thị giác	
7	7	1. Thần kinh 	27.23	Phẫu thuật nội soi lấy máu tụ ngoài màng cứng	
8	8	1. Thần kinh 	27.31	Phẫu thuật nội soi phá nang màng nhện	
9	9	1. Thần kinh 	10.25	Phẫu thuật chọc hút áp xe não bán cầu đại não	
10	10	1. Thần kinh 	10.26	Phẫu thuật chọc hút áp xe não tiểu não	
11	11	1. Thần kinh 	10.27	Phẫu thuật mở nắp sọ lấy bao áp xe não đại não	
12	12	1. Thần kinh 	10.28	Phẫu thuật mở nắp sọ lấy bao áp xe não tiểu não	
13	13	1. Thần kinh 	27.24	Phẫu thuật nội soi bóc bao áp xe não	
14	14	1. Thần kinh 	10.38	Phẫu thuật xử lý nhiễm khuẩn phần mềm vết mổ	
15	15	1. Thần kinh 	10.37	Phẫu thuật viêm xương đốt sống	
16	16	1. Thần kinh 	10.39	Phẫu thuật làm sạch viêm ngoài màng tủy và viêm đĩa đệm	
17	17	1. Thần kinh 	10.39	Phẫu thuật làm sạch viêm ngoài màng tủy hoặc viêm đĩa đệm	
18	18	1. Thần kinh 	10.4	Phẫu thuật làm sạch viêm ngoài màng tủy và hoặc viêm đĩa đệm có tái tạo đốt sống bằng mảnh ghép và hoặc cố định nẹp vít bằng đường trực tiếp	
19	19	1. Thần kinh 	1.206	Kỹ thuật bơm thuốc tiêu sợi huyết qua đường dẫn lưu não thất	
20	20	1. Thần kinh 	10.41	Phẫu thuật lấy bỏ u mỡ (lipoma) ở vùng đuôi ngựa + đóng thoát vị màng tủy hoặc thoát vị tuỷ - màng tuỷ bằng đường vào phía sau	
21	21	1. Thần kinh 	10.55	Phẫu thuật cắt u máu tủy sống dị dạng động tĩnh mạch trong tuỷ	
22	22	1. Thần kinh 	10.42	Phẫu thuật đóng dị tật nứt đốt sống (spina bifida) kèm theo thoát vị màng tuỷ bằng đường vào phía sau	
23	23	1. Thần kinh 	10.43	Phẫu thuật đóng dị tật nứt đốt sống (spina bifida) kèm theo thoát vị tuỷ-màng tuỷ bằng đường vào phía sau	
24	24	1. Thần kinh 	10.44	Phẫu thuật dị tật tủy sống chẻ đôi bằng đường vào phía sau	
25	25	1. Thần kinh 	10.45	Phẫu thuật cắt bỏ đường rò dưới da - dưới màng tuỷ	
